Site Name,Device Hostname,Device Description,Software,Version
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Books,6.4
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Boot Camp Assistant,6.1.0
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Build Web Page,10.1
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Calculator,10.16
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Calendar,14
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,CalendarFileHandler,8
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Calibration Assistant,1
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Canon IJScanner2,4.0.0
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Canon IJScanner4,4.0.0
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Canon IJScanner6,4.0.0
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Captive Network Assistant,5
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,CC Troubleshooter,6.5.0.348
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,CCLibrary,4.8.23.1
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,CCXP_6_1_0,6.4.0.361
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Certificate Assistant,5
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,CharacterPalette,2.0.1
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Chess,3.18
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,ChineseTextConverterService,2.1
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,CIMFindInputCodeTool,104
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,CinematicFramingOnboardingUI,1
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,ClassroomStudentMenuExtra,1
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Clock,1.1
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,COCM_1_0_32,5.0.0.354
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Cocoa-AppleScript Applet,1
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,ColorSync Utility,12.0.0
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,com,
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,com.apple.ctcategories,
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,com.garmin.renu,
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,commandFilter,1.71
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,commandtohp,2.4.1
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Computer,14.6
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Conflict Resolver,8.1
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Console,1.1
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Contact Sheets,
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Contacts,1
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Contacts,14
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,ContinuityCaptureOnboardingUI,1
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Control Center,1
